tax_rate_scenario,federal_ltcg_rate,niit_rate,state_rate,combined_tax_rate,sale_method,sale_pct,lots_touched,sale_value,basis_sold,realized_gain,effective_gain_pct_of_sale,realized_gain_pct_of_full_embedded_gain,estimated_tax,after_tax_sale_proceeds,harvested_losses_needed_to_fully_offset_gain,gross_overlay_needed_at_10pct_loss_yield,gross_overlay_needed_at_10pct_loss_yield_pct_of_concentrated_mv
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,0.5,19,4052731.035,103431.69108125781,3949299.3439187426,0.9744785207337952,0.4944537399009789,939933.2438526606,3112797.7911473396,3949299.3439187426,39492993.43918742,4.872392603668975
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,0.5,19,4052731.035,103431.69108125781,3949299.3439187426,0.9744785207337952,0.4944537399009789,1307218.0828371039,2745512.9521628963,3949299.3439187426,39492993.43918742,4.872392603668975
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,0.5,19,4052731.035,103431.69108125781,3949299.3439187426,0.9744785207337952,0.4944537399009789,1465190.0565938535,2587540.9784061466,3949299.3439187426,39492993.43918742,4.872392603668975
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,0.75,25,6079096.552499999,116723.1502518919,5962373.402248107,0.9807992603433991,0.7464913572498134,1192474.6804496215,4886621.872050378,5962373.402248107,59623734.02248107,7.355994452575493
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,0.75,25,6079096.552499999,116723.1502518919,5962373.402248107,0.9807992603433991,0.7464913572498134,1419044.8697350493,4660051.68276495,5962373.402248107,59623734.02248107,7.355994452575493
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,0.75,25,6079096.552499999,116723.1502518919,5962373.402248107,0.9807992603433991,0.7464913572498134,1973545.5961441235,4105550.956355876,5962373.402248107,59623734.02248107,7.355994452575493
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,0.75,25,6079096.552499999,116723.1502518919,5962373.402248107,0.9807992603433991,0.7464913572498134,2212040.5322340475,3867056.0202659518,5962373.402248107,59623734.02248107,7.355994452575493
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,1.0,40,8105462.069999999,118265.24,7987196.829999999,0.9854091921005066,1.0,1597439.366,6508022.704,7987196.829999999,79871968.29999998,9.854091921005063
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,1.0,40,8105462.069999999,118265.24,7987196.829999999,0.9854091921005066,1.0,1900952.8455399997,6204509.22446,7987196.829999999,79871968.29999998,9.854091921005063
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,1.0,40,8105462.069999999,118265.24,7987196.829999999,0.9854091921005066,1.0,2643762.15073,5461699.9192699995,7987196.829999999,79871968.29999998,9.854091921005063
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,1.0,40,8105462.069999999,118265.24,7987196.829999999,0.9854091921005066,1.0,2963250.0239299997,5142212.04607,7987196.829999999,79871968.29999998,9.854091921005063
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_each_symbol,0.05,8,405273.10349999997,14596.599328423528,390676.50417157647,0.9639833011311013,0.0489128429518841,78135.30083431529,327137.80266568466,390676.50417157647,3906765.0417157644,0.4819916505655506
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_each_symbol,0.05,8,405273.10349999997,14596.599328423528,390676.50417157647,0.9639833011311013,0.0489128429518841,92981.00799283519,312292.0955071648,390676.50417157647,3906765.0417157644,0.4819916505655506
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_each_symbol,0.05,8,405273.10349999997,14596.599328423528,390676.50417157647,0.9639833011311013,0.0489128429518841,129313.92288079181,275959.18061920814,390676.50417157647,3906765.0417157644,0.4819916505655506
